Timestamp,Delta_ms
2025-09-30T18:33:38.2836130Z,1,00
2025-09-30T18:33:38.3151170Z,1,01
2025-09-30T18:33:38.3823484Z,5,08
2025-09-30T18:33:38.4149580Z,0,00
2025-09-30T18:33:38.4511081Z,2,02
2025-09-30T18:33:38.4831087Z,1,04
2025-09-30T18:33:38.5494804Z,5,54
2025-09-30T18:33:38.5827358Z,3,16
2025-09-30T18:33:38.6199281Z,0,00
2025-09-30T18:33:38.6543064Z,0,00
2025-09-30T18:33:38.7139354Z,4,36
2025-09-30T18:33:38.7500763Z,1,01
2025-09-30T18:33:38.7859728Z,3,04
2025-09-30T18:33:38.8145124Z,0,00
2025-09-30T18:33:38.8578370Z,1,00
2025-09-30T18:33:38.8996094Z,1,50
2025-09-30T18:33:38.9321381Z,1,01
2025-09-30T18:33:38.9659829Z,1,33
2025-09-30T18:33:39.0114471Z,3,07
2025-09-30T18:33:39.0506723Z,1,00
2025-09-30T18:33:39.0899688Z,2,03
2025-09-30T18:33:39.1191863Z,0,51
2025-09-30T18:33:39.1491412Z,3,55
2025-09-30T18:33:39.1879160Z,1,00
2025-09-30T18:33:39.2331542Z,5,58
2025-09-30T18:33:39.2651639Z,1,00
2025-09-30T18:33:39.2997284Z,0,00
2025-09-30T18:33:39.3322555Z,1,02
2025-09-30T18:33:39.3974733Z,5,24
2025-09-30T18:33:39.4292107Z,1,01
2025-09-30T18:33:39.4634314Z,1,01
2025-09-30T18:33:39.4991035Z,1,01
2025-09-30T18:33:39.5496700Z,1,51
2025-09-30T18:33:39.5820633Z,1,51
2025-09-30T18:33:39.6159506Z,2,06
2025-09-30T18:33:39.6501703Z,1,00
2025-09-30T18:33:39.6824311Z,1,02
2025-09-30T18:33:39.7031959Z,1,55
2025-09-30T18:33:39.7225257Z,0,99
2025-09-30T18:33:39.7381425Z,1,00
2025-09-30T18:33:39.7877091Z,3,52
2025-09-30T18:33:39.8199242Z,1,50
2025-09-30T18:33:39.8496498Z,0,51
2025-09-30T18:33:39.8836297Z,1,52
2025-09-30T18:33:39.9318488Z,1,00
2025-09-30T18:33:39.9525664Z,1,00
