Timestamp,Delta_ms
2025-09-30T18:19:14.0387146Z,1,52
2025-09-30T18:19:14.0442690Z,1,03
2025-09-30T18:19:14.0646511Z,1,70
2025-09-30T18:19:14.0752991Z,1,02
2025-09-30T18:19:14.0823468Z,1,02
2025-09-30T18:19:14.0915241Z,2,13
2025-09-30T18:19:14.0982129Z,1,00
2025-09-30T18:19:14.1043653Z,1,53
2025-09-30T18:19:14.1119394Z,0,00
2025-09-30T18:19:14.1154896Z,1,54
2025-09-30T18:19:14.1213428Z,1,00
2025-09-30T18:19:14.1356719Z,2,06
2025-09-30T18:19:14.1468101Z,2,06
2025-09-30T18:19:14.1543628Z,1,01
2025-09-30T18:19:14.1578825Z,1,00
2025-09-30T18:19:14.1619285Z,0,00
2025-09-30T18:19:14.1665210Z,1,01
2025-09-30T18:19:14.1713364Z,1,51
2025-09-30T18:19:14.1758870Z,1,01
2025-09-30T18:19:14.1836662Z,1,46
2025-09-30T18:19:14.2040653Z,0,00
2025-09-30T18:19:14.2085825Z,0,99
2025-09-30T18:19:14.2186401Z,1,00
2025-09-30T18:19:14.2235612Z,1,00
2025-09-30T18:19:14.2331281Z,1,01
2025-09-30T18:19:14.2376600Z,1,00
2025-09-30T18:19:14.2416686Z,1,00
2025-09-30T18:19:14.2486972Z,1,00
2025-09-30T18:19:14.2540510Z,1,33
2025-09-30T18:19:14.2651549Z,1,51
2025-09-30T18:19:14.2924246Z,7,04
2025-09-30T18:19:14.2967793Z,1,56
2025-09-30T18:19:14.3023395Z,0,00
2025-09-30T18:19:14.3066975Z,1,03
2025-09-30T18:19:14.3128202Z,1,01
2025-09-30T18:19:14.3178929Z,1,54
2025-09-30T18:19:14.3234166Z,1,51
2025-09-30T18:19:14.3350308Z,1,01
2025-09-30T18:19:14.3447307Z,2,03
2025-09-30T18:19:14.3543608Z,0,51
2025-09-30T18:19:14.3652455Z,2,19
2025-09-30T18:19:14.3743769Z,5,56
2025-09-30T18:19:14.3805668Z,2,02
2025-09-30T18:19:14.3867299Z,0,00
2025-09-30T18:19:14.3947051Z,2,09
